Token	Repeticiones	#Documentos	IDF
einzigen	1	1	2.704151
eireann	3	3	2.227029
eirenet	3	3	2.227029
eiro	1	1	2.704151
eis	6	4	2.102091
eisenhower	5	3	2.227029
eit	1	1	2.704151
either	101	57	0.948276
eiu	11	6	1.925999
eiusmod	1	1	2.704151
eiw	1	1	2.704151
ej	3	3	2.227029
ejack	2	2	2.403121
ejections	1	1	2.704151
ejecuci	2	2	2.403121
ejecut	1	1	2.704151
ejecutan	1	1	2.704151
ejecutiva	1	1	2.704151
ejecutivo	6	4	2.102091
ejecutivos	3	3	2.227029
ejemplo	4	2	2.403121
ejercer	2	2	2.403121
ejercicio	44	9	1.749908
ejercicios	12	5	2.005181
ejjel	5	5	2.005181
ejjeli	1	1	2.704151
ejnye	4	3	2.227029
ejnyi	1	1	2.704151
ejqclsgcewyiru	1	1	2.704151
ejszaka	2	2	2.403121
ejszakaban	1	1	2.704151
ejszakai	6	5	2.005181
ejtenek	2	1	2.704151
ejteni	1	1	2.704151
ejtik	1	1	2.704151
ejtoernyo	1	1	2.704151
ejtoernyos	1	1	2.704151
ejtoernyozott	1	1	2.704151
ejtsunk	2	2	2.403121
ejtve	1	1	2.704151
ejup	1	1	2.704151
ek	4	4	2.102091
eka	1	1	2.704151
ekber	8	1	2.704151
ekc	1	1	2.704151
ekcc	1	1	2.704151
ekerdest	1	1	2.704151
ekes	1	1	2.704151
ekesen	1	1	2.704151
ekesitett	1	1	2.704151
ekesiti	1	1	2.704151
ekezet	2	2	2.403121
ekezetekkel	1	1	2.704151
ekhart	1	1	2.704151
ekhert	1	1	2.704151
ekhez	1	1	2.704151
ekho	9	6	1.925999
ekk	1	1	2.704151
ekkel	1	1	2.704151
ekkent	2	2	2.403121
ekkor	15	12	1.624969
ekkora	9	8	1.801061
eklektia	3	3	2.227029
eko	1	1	2.704151
ekol	1	1	2.704151
ekomaromi	1	1	2.704151
ekozben	6	5	2.005181
ekroth	2	1	2.704151
ekspress	1	1	2.704151
ekszer	1	1	2.704151
ekszerek	1	1	2.704151
eku	4	4	2.102091
ekx	5	5	2.005181
el	1264	88	0.759668
ela	3	3	2.227029
elabora	1	1	2.704151
elaboraci	3	2	2.403121
elaborada	1	1	2.704151
elaboradas	1	1	2.704151
elaboradora	1	1	2.704151
elaborados	1	1	2.704151
elaborate	3	3	2.227029
elaborately	1	1	2.704151
elaboration	2	2	2.403121
elabrandozik	1	1	2.704151
eladasa	2	2	2.403121
eladasaban	1	1	2.704151
eladasabol	1	1	2.704151
eladasabolszerzett	1	1	2.704151
eladasat	1	1	2.704151
eladasaval	2	2	2.403121
eladasi	1	1	2.704151
eladasokat	1	1	2.704151
eladasra	1	1	2.704151
eladdig	1	1	2.704151
eladhatatlan	2	2	2.403121
eladhato	1	1	2.704151
eladja	2	2	2.403121
eladjak	1	1	2.704151
eladni	9	8	1.801061
elado	1	1	2.704151
eladogatasabol	1	1	2.704151
eladok	1	1	2.704151
eladositasat	1	1	2.704151
eladosodas	5	4	2.102091
eladosodasunkat	1	1	2.704151
eladosodnak	1	1	2.704151
eladosodott	2	2	2.403121
eladosodottorszagban	1	1	2.704151
eladott	2	2	2.403121
eladta	2	2	2.403121
eladtak	1	1	2.704151
eladtam	1	1	2.704151
eladunk	1	1	2.704151
elagazasa	1	1	2.704151
elai	8	2	2.403121
elaine	1	1	2.704151
elakadasonmar	1	1	2.704151
elall	2	2	2.403121
elan	4	4	2.102091
elanyagiasodott	1	1	2.704151
elapadnak	1	1	2.704151
elapsed	1	1	2.704151
elaraszt	1	1	2.704151
elarulasa	3	2	2.403121
elarulja	1	1	2.704151
elarulna	1	1	2.704151
elarulni	1	1	2.704151
elarulo	1	1	2.704151
elarult	2	2	2.403121
elarulta	1	1	2.704151
elarverezik	1	1	2.704151
elastak	1	1	2.704151
elasva	2	2	2.403121
elatkozza	1	1	2.704151
elavultak	1	1	2.704151
elazonban	1	1	2.704151
elaztatasara	1	1	2.704151
elbagatellizalni	1	1	2.704151
elballagott	1	1	2.704151
elbanasnak	1	1	2.704151
elbanast	2	2	2.403121
elbanni	1	1	2.704151
elbantak	1	1	2.704151
elbatortalanodik	1	1	2.704151
elbbs	2	2	2.403121
elbiralasa	1	1	2.704151
elbiralasaraa	1	1	2.704151
elbiralasat	1	1	2.704151
elbiralast	2	2	2.403121
elbiralniuk	1	1	2.704151
elbitoroljak	1	1	2.704151
elbizonytalanodott	1	1	2.704151
elbocs	3	2	2.403121
elbocsatani	3	3	2.227029
elbocsatas	2	2	2.403121
elbocsatasa	3	3	2.227029
elbocsatasaert	1	1	2.704151
elbocsatasara	1	1	2.704151
elbocsatasok	2	1	2.704151
elbocsatasokat	1	1	2.704151
elbocsatasokra	2	1	2.704151
elbocsatast	1	1	2.704151
elbocsatott	1	1	2.704151
elbocsatotta	1	1	2.704151
elbocsatottak	1	1	2.704151
elbocsatottam	1	1	2.704151
elbocsatottnevelokon	1	1	2.704151
elbocsatottuk	1	1	2.704151
elbolyba	1	1	2.704151
elbontja	1	1	2.704151
elborito	1	1	2.704151
elborzaszto	1	1	2.704151
elbow	3	3	2.227029
elbucsuzott	1	1	2.704151
elbujni	1	1	2.704151
elbukasakor	1	1	2.704151
elburjanzasa	1	1	2.704151
elburokratizalodasa	1	1	2.704151
elbutitott	1	1	2.704151
elbutulas	1	1	2.704151
elc	1	1	2.704151
elcamino	1	1	2.704151
elcc	1	1	2.704151
elcelodik	1	1	2.704151
elcom	1	1	2.704151
elcsapott	1	1	2.704151
elcsatolt	2	1	2.704151
elcsatoltak	1	1	2.704151
elcsenik	1	1	2.704151
elcsitulnak	1	1	2.704151
elcsodalkozik	1	1	2.704151
elcsuszni	1	1	2.704151
eld	1	1	2.704151
eldec	2	2	2.403121
elder	19	8	1.801061
elderly	58	20	1.403121
elders	1	1	2.704151
eldest	1	1	2.704151
eldhorn	1	1	2.704151
eldobta	2	2	2.403121
eldolt	1	1	2.704151
eldon	3	1	2.704151
eldonteni	2	2	2.403121
eldontese	1	1	2.704151
eldontesere	1	1	2.704151
eldontheti	1	1	2.704151
eldonthetne	1	1	2.704151
eldonto	1	1	2.704151
eldontott	1	1	2.704151
eldontotte	3	3	2.227029
eldontottek	1	1	2.704151
eldontsek	1	1	2.704151
eldugta	1	1	2.704151
eldurvulasa	1	1	2.704151
ele	37	25	1.306211
eleanor	10	6	1.925999
elebe	3	3	2.227029
elec	4	3	2.227029
elect	9	7	1.859052
electa	1	1	2.704151
electech	1	1	2.704151
elected	21	20	1.403121
election	119	37	1.135949
electioncampaign	1	1	2.704151
elections	94	29	1.241753
elective	2	2	2.403121
electively	1	1	2.704151
electives	1	1	2.704151
electoral	33	21	1.381931
electoralsystem	1	1	2.704151
electorate	7	4	2.102091
electric	27	18	1.448878
electrical	21	13	1.590207
electrically	1	1	2.704151
electricidad	1	1	2.704151
electricite	1	1	2.704151
electriciti	16	5	2.005181
electricity	14	7	1.859052
electrification	1	1	2.704151
electrified	1	1	2.704151
electro	2	2	2.403121
electrocution	2	1	2.704151
electrodynamic	1	1	2.704151
electromagnetic	3	3	2.227029
electronic	56	25	1.306211
electronically	5	4	2.102091
electronics	11	7	1.859052
electronikus	2	1	2.704151
electrostatic	1	1	2.704151
electrosumergibles	1	1	2.704151
electrotex	9	5	2.005181
electrum	4	4	2.102091
eledesere	1	1	2.704151
elefant	1	1	2.704151
elefantcsonttoronyban	1	1	2.704151
eleg	41	24	1.323939
elegans	2	2	2.403121
elege	2	2	2.403121
elegedetlen	3	3	2.227029
elegedetlenebbek	1	1	2.704151
elegedetlenek	1	1	2.704151
elegedetlenkedo	1	1	2.704151
elegedetlenseg	2	1	2.704151
elegedetlensege	1	1	2.704151
elegedetlensegmodjait	1	1	2.704151
elegedett	4	3	2.227029
elegedettek	2	2	2.403121
elegedetten	3	2	2.403121
elegedettsegiindexeinek	1	1	2.704151
elegend	3	3	2.227029
elegendo	11	9	1.749908
eleget	12	8	1.801061
elegettek	1	1	2.704151
elegge	4	4	2.102091
elegido	2	2	2.403121
elegidos	1	1	2.704151
elegir	1	1	2.704151
elegitette	1	1	2.704151
elegitettevolna	1	1	2.704151
elegseges	2	2	2.403121
elegsegesek	1	1	2.704151
elegsegesnek	1	1	2.704151
elegtelen	1	1	2.704151
elegtelenkamionos	1	1	2.704151
elegtetelt	1	1	2.704151
elegteteltkovetel	1	1	2.704151
elegy	1	1	2.704151
elegye	1	1	2.704151
elegyedni	2	1	2.704151
elegyesek	1	1	2.704151
eleharcolt	1	1	2.704151
elehetoseg	1	1	2.704151
eleinte	3	3	2.227029
elej	2	2	2.403121
eleje	2	2	2.403121
elejeig	2	2	2.403121
elejen	18	15	1.528059
elejenek	1	1	2.704151
elejeota	1	1	2.704151
elejere	2	2	2.403121
elejet	2	2	2.403121
elejetol	3	3	2.227029
eleji	2	2	2.403121
elejtettszalakat	1	1	2.704151
elejuk	1	1	2.704151
elek	4	3	2.227029
elekonkormanyzata	1	1	2.704151
elektrobit	1	1	2.704151
elektromos	1	1	2.704151
elektromosipari	1	1	2.704151
elektronikai	3	2	2.403121
elektronikus	12	11	1.662758
elektronikusmediaba	1	1	2.704151
elelemmel	1	1	2.704151
eleleplezo	1	1	2.704151
elelhangzik	1	1	2.704151
elelmes	2	2	2.403121
elelmeseket	1	1	2.704151
elelmiszer	2	2	2.403121
elelmiszerarak	1	1	2.704151
elelmiszerekbol	1	1	2.704151
elelmiszeripar	1	1	2.704151
elelmiszeriparunk	1	1	2.704151
elelmiszerker	1	1	2.704151
elelmiszerkereskedelmi	1	1	2.704151
elelmiszerre	2	2	2.403121
elelmiszerszallitmanyok	1	1	2.704151
elelmiszert	4	4	2.102091
elem	6	4	2.102091
elembol	1	1	2.704151
eleme	2	2	2.403121
elemei	5	4	2.102091
elemeiben	1	1	2.704151
elemeibol	1	1	2.704151
elemeigerjesszek	1	1	2.704151
elemeit	1	1	2.704151
elemek	2	2	2.403121
elemeket	2	1	2.704151
elemekre	1	1	2.704151
elemekt	1	1	2.704151
element	23	17	1.473702
elemental	2	2	2.403121
elementary	60	17	1.473702
elemento	3	1	2.704151
elementos	1	1	2.704151
elements	84	44	1.060698
elemer	20	16	1.500031
elemet	4	4	2.102091
elemezni	1	1	2.704151
elemeznunk	1	1	2.704151
elemezte	1	1	2.704151
elemeztek	1	1	2.704151
elemezve	2	2	2.403121
elemezze	1	1	2.704151
elemi	4	3	2.227029
elemibe	1	1	2.704151
elemmel	1	1	2.704151
elemz	2	1	2.704151
elemzes	4	4	2.102091
elemzese	2	2	2.403121
elemzeseben	2	2	2.403121
elemzeseibol	1	1	2.704151
elemzeseitelfogult	1	1	2.704151
elemzesek	2	2	2.403121
elemzesekor	1	1	2.704151
elemzeset	1	1	2.704151
elemzesevelbizonyitja	1	1	2.704151
elemzest	1	1	2.704151
elemzi	2	2	2.403121
elemzo	6	5	2.005181
elemzoi	1	1	2.704151
elemzok	4	3	2.227029
elen	13	10	1.704151
elenchus	2	1	2.704151
elender	1	1	2.704151
elenekeltek	1	1	2.704151
elenekelteteseert	2	1	2.704151
elenekleset	2	1	2.704151
elenekli	2	1	2.704151
elengedhetetlen	3	3	2.227029
elengedikaz	1	1	2.704151
elengedni	1	1	2.704151
elengedte	1	1	2.704151
elenjaro	1	1	2.704151
elenjarunk	1	1	2.704151
elenk	2	2	2.403121
elenkitesere	2	1	2.704151
elenkiti	1	1	2.704151
elenkitse	1	1	2.704151
elenkulni	1	1	2.704151
elenyeszo	1	1	2.704151
elephant	1	1	2.704151
elere	4	3	2.227029
elerem	1	1	2.704151
elerendo	1	1	2.704151
elerese	1	1	2.704151
elereseerdekeben	1	1	2.704151
eleresehez	1	1	2.704151
eleresere	1	1	2.704151
elereset	3	2	2.403121
eleresevel	1	1	2.704151
eleresi	2	2	2.403121
elerhetetlen	2	2	2.403121
elerhetetlenne	2	1	2.704151
elerheti	4	4	2.102091
elerheto	6	5	2.005181
elerhetove	1	1	2.704151
eleri	3	3	2.227029
elerik	2	2	2.403121
elerni	10	10	1.704151
elerniuk	1	1	2.704151
elernyesztette	1	1	2.704151
elero	2	2	2.403121
elerol	3	3	2.227029
eleroszenegal	1	1	2.704151
elert	2	2	2.403121
elerte	8	5	2.005181
elertek	2	2	2.403121
eles	12	11	1.662758
elesben	1	1	2.704151
elesebb	1	1	2.704151
elesebben	1	1	2.704151
elesedo	2	1	2.704151
elesen	6	6	1.925999
elesett	1	1	2.704151
elesettek	1	1	2.704151
elesettseget	2	1	2.704151
eleshet	1	1	2.704151
eleskamraja	1	1	2.704151
elesre	1	1	2.704151
elesztoje	1	1	2.704151
elet	50	26	1.289177
eletbe	8	7	1.859052
eletben	4	4	2.102091
eletbevago	1	1	2.704151
eletbol	2	1	2.704151
eletcelunkhoz	1	1	2.704151
elete	5	4	2.102091
eletebe	3	3	2.227029
eleteben	2	2	2.403121
eletebol	1	1	2.704151
eleted	1	1	2.704151
eletehez	1	1	2.704151
eleteket	1	1	2.704151
eletelvei	1	1	2.704151
eletem	3	2	2.403121
eletemben	1	1	2.704151
eletenek	3	3	2.227029
eletere	2	2	2.403121
eleterol	1	1	2.704151
eletertmozgalom	1	1	2.704151
eleterzesben	1	1	2.704151
eleterzese	1	1	2.704151
eletet	20	9	1.749908
eletfeltete	1	1	2.704151
eletfogytiglan	1	1	2.704151
eletfogytiglani	2	2	2.403121
eletfontossagu	1	1	2.704151
elethalal	1	1	2.704151
elethez	1	1	2.704151
eletjaradekra	1	1	2.704151
eletkedvem	1	1	2.704151
eletkepek	3	2	2.403121
eletkepekre	1	1	2.704151
eletkeptelen	1	1	2.704151
eletkeptelenseget	1	1	2.704151
eletkor	1	1	2.704151
eletkorulmenyeijelentosebb	1	1	2.704151
eletkorulmenyeinkrol	1	1	2.704151
eletkorulmenyek	1	1	2.704151
eletkorulmenyekre	1	1	2.704151
eletmento	8	4	2.102091
eletmindenestol	1	1	2.704151
eletminoseg	1	1	2.704151
eletmod	2	1	2.704151
eletmodbeli	1	1	2.704151
eletmodjat	1	1	2.704151
eletmodot	2	1	2.704151
eletmuveert	1	1	2.704151
eletpolitikai	1	1	2.704151
eletrajzahoz	1	1	2.704151
eletrajzat	1	1	2.704151
eletrajzbankeletkezett	1	1	2.704151
eletre	4	4	2.102091
eletrehivott	1	1	2.704151
eletrekeltett	1	1	2.704151
eletrevalo	1	1	2.704151
eletrol	2	2	2.403121
eletszakasztol	1	1	2.704151
eletszereploit	1	1	2.704151
eletszereto	1	1	2.704151
eletszinvonal	7	6	1.925999
eletszinvonalcsokkeneslesz	1	1	2.704151
eletszinvonalcsokkentest	1	1	2.704151
eletszinvonalloketet	1	1	2.704151
eletszinvonalromlasat	1	1	2.704151
eletszinvonalzuhanas	1	1	2.704151
elettani	1	1	2.704151
elettarsi	1	1	2.704151
elettartam	1	1	2.704151
elettartama	1	1	2.704151
elettartamam	1	1	2.704151
elettek	1	1	2.704151
elettra	1	1	2.704151
eletuenkbebeepitett	1	1	2.704151
eletuenket	1	1	2.704151
eletuk	2	2	2.403121
eletukben	1	1	2.704151
eletuket	5	5	2.005181
eletunk	5	4	2.102091
eletunkben	1	1	2.704151
eletunkbol	1	1	2.704151
eletunkert	1	1	2.704151
eletunket	3	2	2.403121
eletunketnem	1	1	2.704151
eletunknek	1	1	2.704151
eletunkre	1	1	2.704151
eletvedelmi	1	1	2.704151
eletveszelyben	1	1	2.704151
eletveszelyes	4	4	2.102091
eletveszelyesen	1	1	2.704151
elev	1	1	2.704151
elevado	3	2	2.403121
elevados	1	1	2.704151
elevando	1	1	2.704151
elevated	1	1	2.704151
elevation	12	4	2.102091
elevations	4	3	2.227029
eleve	3	2	2.403121
eleven	6	6	1.925999
elevult	1	1	2.704151
elezi	1	1	2.704151
elezodik	1	1	2.704151
elf	2	2	2.403121
elfedi	2	2	2.403121
elfekelyesedett	1	1	2.704151
elfeledkezik	1	1	2.704151
elfeledtetni	1	1	2.704151
elfelejteni	2	1	2.704151
elfelejtett	1	1	2.704151
elfelejtette	3	3	2.227029
elfelejtheti	1	1	2.704151
elfelejti	3	3	2.227029
elfelejtik	1	1	2.704151
elferditetteknek	1	1	2.704151
elfoagdhato	1	1	2.704151
elfogad	1	1	2.704151
elfogadas	3	3	2.227029
elfogadasa	7	5	2.005181
elfogadasahoz	1	1	2.704151
elfogadasaig	2	1	2.704151
elfogadasanak	1	1	2.704151
elfogadasara	1	1	2.704151
elfogadasarol	1	1	2.704151
elfogadasat	6	6	1.925999
elfogadasaval	3	3	2.227029
elfogadassal	1	1	2.704151
elfogadhatatlan	16	10	1.704151
elfogadhatatlannak	11	10	1.704151
elfogadhatatlanok	1	1	2.704151
elfogadhatja	1	1	2.704151
elfogadhatna	1	1	2.704151
elfogadhato	6	5	2.005181
elfogadhatoalternativa	1	1	2.704151
elfogadhatonak	1	1	2.704151
elfogadhatosagat	1	1	2.704151
elfogadj	1	1	2.704151
elfogadja	7	7	1.859052
elfogadjak	2	2	2.403121
elfogadjatok	1	1	2.704151
elfogadna	3	2	2.403121
elfogadnank	1	1	2.704151
elfogadni	5	4	2.102091
elfogadnia	1	1	2.704151
elfogadniaz	1	1	2.704151
elfogadom	1	1	2.704151
elfogadott	19	15	1.528059
elfogadottalkotmanykoncepciot	1	1	2.704151
elfogadottkulturalis	1	1	2.704151
elfogadottnyilatkozat	1	1	2.704151
elfogadottorszaggyulesi	1	1	2.704151
elfogadt	1	1	2.704151
elfogadta	9	9	1.749908
elfogadtak	2	2	2.403121
elfogadtatni	3	3	2.227029
elfogasuk	1	1	2.704151
elfoglalja	2	2	2.403121
elfoglalnia	1	1	2.704151
elfoglaltsaga	1	1	2.704151
elfoglaltteruletek	1	1	2.704151
elfoglalva	2	2	2.403121
elfogo	1	1	2.704151
elfogtak	2	1	2.704151
elfogulatlan	1	1	2.704151
elfogult	1	1	2.704151
elfogultsag	1	1	2.704151
elfogultsaga	1	1	2.704151
elfogultsaggal	1	1	2.704151
elfogultsagi	1	1	2.704151
elfogultsagratekintettel	1	1	2.704151
elfogy	1	1	2.704151
elfogya	1	1	2.704151
elfogyott	2	2	2.403121
elfogytaval	1	1	2.704151
elfojtott	1	1	2.704151
elfojtottak	1	1	2.704151
elfojtva	1	1	2.704151
elfordulas	1	1	2.704151
elfordult	1	1	2.704151
elftars	5	3	2.227029
elftarsak	3	3	2.227029
elftarsaknak	2	1	2.704151
elftarsakrol	1	1	2.704151
elftarsnak	1	1	2.704151
elftarsurak	1	1	2.704151
elfureszeltek	1	1	2.704151
elgav	1	1	2.704151
elgazosito	3	1	2.704151
elgin	2	2	2.403121
elgondolasainak	1	1	2.704151
elgondolashoz	1	1	2.704151
elgondolast	1	1	2.704151
elgondolkodik	1	1	2.704151
elgondolkodni	1	1	2.704151
elgondolkodtat	1	1	2.704151
elgondolkodtato	2	2	2.403121
elhaborodasat	1	1	2.704151
elhagyasa	1	1	2.704151
elhagyhato	1	1	2.704151
elhagyja	1	1	2.704151
elhagyo	1	1	2.704151
elhagyott	2	2	2.403121
elhagyta	1	1	2.704151
elhagytamagat	1	1	2.704151
elhalalozasi	1	1	2.704151
elhalasztasa	1	1	2.704151
elhalasztasabol	1	1	2.704151
elhalasztasara	1	1	2.704151
elhalasztasarol	1	1	2.704151
elhalasztasat	1	1	2.704151
elhalaszto	1	1	2.704151
elhalasztotta	2	2	2.403121
elhallgassuk	1	1	2.704151
elhallgatasa	1	1	2.704151
elhallgatasat	1	1	2.704151
elhallgatasaval	1	1	2.704151
elhallgatja	6	6	1.925999
elhallgatni	2	2	2.403121
elhallgattak	1	1	2.704151
elhallgattatasat	1	1	2.704151
elhallgattatott	2	1	2.704151
elhalt	1	1	2.704151
elhamarkodott	2	2	2.403121
elhangzanak	2	2	2.403121
elhangzik	1	1	2.704151
elhangzott	24	17	1.473702
elhangzottak	1	1	2.704151
elhangzottakalol	1	1	2.704151
elhangzottakat	2	2	2.403121
elhangzottakrol	1	1	2.704151
elhangzottaktol	1	1	2.704151
elhangzottaz	1	1	2.704151
elhangzottfigyelmeztetes	1	1	2.704151
elhangzottpolitikai	1	1	2.704151
elhanyagolhat	1	1	2.704151
elhanyagolhato	2	2	2.403121
elhanyagolhatoak	1	1	2.704151
elhanyagolt	1	1	2.704151
elharapodzottalkoholizmussal	1	1	2.704151
elharcosa	1	1	2.704151
elharitani	1	1	2.704151
elharitasara	2	2	2.403121
elharitotta	1	1	2.704151
elharitsa	1	1	2.704151
elhasaltatoka	1	1	2.704151
elhasznalni	1	1	2.704151
elhasznalt	1	1	2.704151
elhat	2	2	2.403121
elhatarolodasukat	1	1	2.704151
elhatarolodna	1	1	2.704151
elhatarolodni	2	1	2.704151
elhatarolodott	1	1	2.704151
elhatarolodottezektol	1	1	2.704151
elhatarolodtak	1	1	2.704151
elhatarozasat	1	1	2.704151
elhatarozasok	1	1	2.704151
elhatarozasotokat	1	1	2.704151
elhatarozassal	1	1	2.704151
elhatarozott	2	2	2.403121
elhatarozta	2	2	2.403121
elhataroztak	3	3	2.227029
elhataroztam	1	1	2.704151
elhelyez	2	2	2.403121
elhelyezett	1	1	2.704151
elhelyezkedest	1	1	2.704151
elhelyezni	2	2	2.403121
elhelyeznie	1	1	2.704151
elherd	1	1	2.704151
elherdalasanak	1	1	2.704151
elherdalasat	1	1	2.704151
elherdalasaval	1	1	2.704151
elherdalashozvezetne	1	1	2.704151
elherdalasok	1	1	2.704151
elherdalo	1	1	2.704151
elherdalta	1	1	2.704151
elherdaltak	1	1	2.704151
elhessen	1	1	2.704151
elhessuek	1	1	2.704151
elhet	2	1	2.704151
elhetne	1	1	2.704151
elhetnek	1	1	2.704151
elhetunk	1	1	2.704151
elhib	1	1	2.704151
elhibazott	1	1	2.704151
elhibazottnak	2	2	2.403121
elhinni	2	2	2.403121
elhiresult	2	2	2.403121
elhiszed	2	2	2.403121
elhiszem	4	2	2.403121
elhiszi	4	3	2.227029
elhitetni	1	1	2.704151
elhitt	3	2	2.403121
elhitte	2	2	2.403121
elhivatott	1	1	2.704151
elhivatottsaggal	1	1	2.704151
elhozhatja	1	1	2.704151
elhozta	1	1	2.704151
elhullasakor	1	1	2.704151
elhullott	1	1	2.704151
elhulyult	1	1	2.704151
elhunyt	4	4	2.102091
elhurcolt	1	1	2.704151
elhurcoltak	2	1	2.704151
elhurcoltreformatus	1	1	2.704151
elhuz	1	1	2.704151
elhuzodhat	1	1	2.704151
elhuzodik	1	1	2.704151
eli	3	2	2.403121
eliade	1	1	2.704151
elidegenedese	2	1	2.704151
elidetlenkedte	1	1	2.704151
elie	2	2	2.403121
eligazito	1	1	2.704151
eligazodast	1	1	2.704151
eligibility	22	10	1.704151
eligible	35	9	1.749908
elik	1	1	2.704151
elim	3	3	2.227029
elimina	1	1	2.704151
eliminaci	3	3	2.227029
eliminaciones	1	1	2.704151
eliminar	1	1	2.704151
eliminate	16	14	1.558022
eliminated	4	4	2.102091
eliminates	2	1	2.704151
eliminating	10	10	1.704151
elimination	14	11	1.662758
elin	1	1	2.704151
elind	1	1	2.704151
elinditani	2	2	2.403121
elinditaniuk	1	1	2.704151
elinditasaba	1	1	2.704151
elinditasat	2	2	2.403121
elinditott	2	2	2.403121
elinditotta	1	1	2.704151
elindulhatunk	1	1	2.704151
elindult	2	2	2.403121
elink	5	5	2.005181
elintezesere	1	1	2.704151
elintezett	1	1	2.704151
elintezni	1	1	2.704151
eliot	33	9	1.749908
elis	1	1	2.704151
elisa	2	1	2.704151
elise	1	1	2.704151
elisee	1	1	2.704151
elismer	5	3	2.227029
elismerem	2	2	2.403121
elismeres	1	1	2.704151
elismeresben	1	1	2.704151
elismerese	3	3	2.227029
elismeresenek	1	1	2.704151
elismereset	2	2	2.403121
elismeresevel	1	1	2.704151
elismeresre	1	1	2.704151
elismeresrol	1	1	2.704151
elismeressel	2	2	2.403121
elismeri	6	5	2.005181
elismerik	2	2	2.403121
elismerne	1	1	2.704151
elismerni	5	3	2.227029
elismero	1	1	2.704151
elismerok	1	1	2.704151
elismert	9	9	1.749908
elismerte	7	6	1.925999
elismertek	1	1	2.704151
elismertekmuveszeink	1	1	2.704151
elismertet	1	1	2.704151
elismertethessek	1	1	2.704151
elismerve	1	1	2.704151
elit	28	11	1.662758
elitben	1	1	2.704151
elitcsapat	1	1	2.704151
elite	27	13	1.590207
elitek	1	1	2.704151
elitel	1	1	2.704151
elitelendo	1	1	2.704151
elitelendobbek	1	1	2.704151
eliteles	1	1	2.704151
elitelesemellett	1	1	2.704151
eliteleset	1	1	2.704151
eliteli	1	1	2.704151
elitelik	2	1	2.704151
elitelni	2	1	2.704151
elitelo	2	2	2.403121
eliteloen	1	1	2.704151
elitelt	3	3	2.227029
eliteltek	1	1	2.704151
eliteltet	1	1	2.704151
elites	2	2	2.403121
elitetreszben	1	1	2.704151
elitism	2	2	2.403121
elitje	1	1	2.704151
elitnek	4	3	2.227029
elitreteg	1	1	2.704151
elitrol	1	1	2.704151
elittol	2	1	2.704151
elixir	1	1	2.704151
elizabeth	11	7	1.859052
elizabethan	12	5	2.005181
elizabethton	3	3	2.227029
elizabethtown	1	1	2.704151
elj	3	1	2.704151
eljaras	8	8	1.801061
eljarasa	1	1	2.704151
eljarasba	1	1	2.704151
eljarasbol	1	1	2.704151
eljarasi	1	1	2.704151
eljarasjogi	1	1	2.704151
eljarasnak	1	1	2.704151
eljarasokat	1	1	2.704151
eljarasokban	1	1	2.704151
eljarasoknak	1	1	2.704151
eljarason	1	1	2.704151
eljarasra	2	1	2.704151
eljarasrol	1	1	2.704151
eljarast	4	3	2.227029
eljarastkezdemenyez	1	1	2.704151
eljarna	1	1	2.704151
eljarni	2	2	2.403121
eljarorendorok	1	1	2.704151
eljatszani	1	1	2.704151
eljatszom	1	1	2.704151
eljatszotta	2	2	2.403121
eljen	9	6	1.925999
eljenek	1	1	2.704151
eljenzotomegrol	1	1	2.704151
eljesen	1	1	2.704151
eljon	2	2	2.403121
eljonni	1	1	2.704151
eljott	3	3	2.227029
eljovendo	1	1	2.704151
eljunk	1	1	2.704151
eljusson	1	1	2.704151
eljut	1	1	2.704151
eljuta	1	1	2.704151
eljuthat	2	2	2.403121
eljutottak	1	1	2.704151
eljutottam	1	1	2.704151
eljutottunk	1	1	2.704151
eljuttat	1	1	2.704151
eljuttatni	2	2	2.403121
eljuttatott	1	1	2.704151
eljuttatottleveleben	1	1	2.704151
eljuttattam	1	1	2.704151
eljutunk	1	1	2.704151
elk	20	7	1.859052
elka	4	3	2.227029
elkallodott	1	1	2.704151
elkell	2	2	2.403121
elkelne	1	1	2.704151
elkenni	1	1	2.704151
elkent	1	1	2.704151
elkep	1	1	2.704151
elkepedeset	1	1	2.704151
elkepeszto	10	10	1.704151
elkepesztobb	1	1	2.704151
elkepesztoen	2	1	2.704151
elkepzeles	7	7	1.859052
elkepzelese	1	1	2.704151
elkepzelesei	5	5	2.005181
elkepzeleseikkel	1	1	2.704151
elkepzeleseinek	1	1	2.704151
elkepzeleseit	1	1	2.704151
elkepzeleseivel	1	1	2.704151
elkepzelesek	4	4	2.102091
elkepzeleseket	2	2	2.403121
elkepzelesekkel	1	1	2.704151
elkepzeleset	3	2	2.403121
elkepzelesetol	1	1	2.704151
elkepzelesmegvalosul	1	1	2.704151
elkepzelessel	2	1	2.704151
elkepzelest	1	1	2.704151
elkepzelhetetlen	5	4	2.102091
elkepzelhetetlenul	1	1	2.704151
elkepzelheto	5	5	2.005181
elkepzelhetok	1	1	2.704151
elkepzelhetonek	3	3	2.227029
elker	1	1	2.704151
elkergeti	1	1	2.704151
elkeruelhetetlennel	1	1	2.704151
elkerulese	3	3	2.227029
elkerulesebenez	1	1	2.704151
elkerulesere	1	1	2.704151
elkerulhetetlen	6	5	2.005181
elkerulhetetlenne	1	1	2.704151
