Token	Repeticiones	#Documentos
outlined	9	7
iv	8	6
consist	6	6
oversee	8	8
functional	8	5
committees	2	2
designate	2	2
appointed	22	13
elected	12	12
eligible	33	8
candidates	24	14
semester	6	4
contacting	5	5
voting	31	16
eligibility	14	6
restricted	13	9
plurality	2	2
votes	37	15
cast	6	5
notified	5	5
fiscal	24	13
honors	24	6
fill	9	8
faculty	26	11
advisor	7	7
amendments	10	9
acted	9	4
constitution	36	16
deemed	6	6
ratify	1	1
shahriar	1	1
dashing	1	1
appointment	11	6
grabbing	1	1
bite	1	1
traffic	23	10
overwhelmed	1	1
enjoyable	1	1
breakfast	7	5
prevailed	1	1
calmly	2	1
rush	7	5
obstructed	1	1
harassed	3	3
taxi	4	2
ring	6	5
sorted	1	1
coffee	11	5
unavoidably	1	1
negotiated	2	2
theory	174	52
chaos	20	5
element	22	16
latitude	11	11
elements	68	39
evolve	5	4
spontaneous	4	2
concentration	11	9
denser	1	1
clouds	8	6
shortly	5	5
big	30	23
gathering	9	8
hunter	2	2
tribe	3	3
apes	1	1
predictable	2	2
seeming	4	4
bee	2	2
ross	8	5
expressions	3	3
feminist	5	5
triggered	8	8
berlin	3	3
collapse	20	12
downfall	2	2
mainframe	2	2
favour	4	2
resurgence	4	3
institutional	13	10
embracing	3	3
spirituality	3	2
reaction	31	27
rationalistic	1	1
materialism	6	6
whenever	6	5
static	1	1
equilibrium	1	1
grow	14	12
fertile	3	3
chaotic	3	1
boundaries	4	4
trials	8	6
spontaneously	1	1
alternatives	23	19
organize	4	4
exercise	23	15
evolves	2	2
noticed	7	7
pushes	4	4
orderly	2	2
hierarchical	2	2
foresight	1	1
insight	15	11
grasp	7	7
bigger	6	4
preoccupied	2	2
onset	6	6
spinning	1	1
undesirable	1	1
restore	12	9
busy	2	2
billions	6	6
god	37	13
dominate	4	3
subjugate	1	1
proceed	9	9
wasting	2	2
imagination	6	6
consultant	13	6
spake	1	1
paragidm	1	1
21st	10	8
transformations	3	3
96	79	18
trade	318	42
asia	150	7
newsnet	69	2
skies	3	1
flyer	3	1
hails	3	2
leisure	16	5
spearman	7	1
retires	5	3
continues	16	12
trek	3	1
destination	6	3
autumn	5	3
cruise	19	4
theme	215	106
park	24	9
push	5	3
conrad	17	4
lima	6	1
phone	17	13
surcharge	3	1
cybernomics	3	1
threat	31	21
absent	3	2
ustta	2	1
markets	34	13
views	166	56
hotel	52	6
wooed	2	1
outback	6	1
guide	33	20
tragic	37	14
lesson	10	6
aviation	17	5
hail	2	1
raise	19	14
eyes	18	15
visa	32	5
attractions	4	1
quitting	2	1
hurting	3	2
irian	6	1
trekking	4	1
agents	52	18
slam	2	1
ia	2	1
fare	9	4
indonesian	9	4
1078	59	2
jakarta	15	1
indonesia	29	12
asian	54	12
nations	67	25
provinces	3	2
kalimantan	2	1
malaysia	15	8
haryanto	1	1
stopovers	1	1
partners	26	10
cities	16	10
headline	67	2
delhi	6	2
airways	8	3
partnership	60	12
boost	9	8
naresh	1	1
reciprocity	1	1
ffp	3	3
exchangeability	1	1
tourism	53	4
gina	3	1
putong	3	1
hong	104	13
kong	60	10
strengthening	6	6
operative	31	3
counterparts	3	3
tourist	25	6
lo	32	18
yuk	1	1
pearl	25	4
river	18	12
organisation	11	6
initiatives	4	2
reminded	10	7
earner	1	1
assured	6	6
expand	16	14
undertaken	11	8
exhibition	9	3
ms	20	3
amy	2	2
hkta	5	1
verbal	9	9
reassurances	1	1
chinese	43	20
flourish	2	2
handover	4	1
jeff	3	3
zuckerberg	1	1
thomas	54	21
welcomed	4	4
giant	12	5
automobile	18	13
keller	2	2
travelling	5	2
sector	34	18
cent	36	3
travellers	7	1
arrangements	15	11
worldwide	23	18
reservation	3	2
ticket	8	5
revalidation	1	1
emergency	33	20
reciprocal	1	1
enhanced	16	8
joins	2	2
catalist	2	1
booking	6	2
avatar	1	1
counsellors	1	1
customised	1	1
vacations	2	1
graeme	1	1
announcement	5	4
visiting	15	5
britain	35	19
negotiations	19	12
multinational	42	9
ventures	8	6
mathis	2	1
johnny	1	1
hotels	29	3
resorts	3	1
billy	7	4
fijian	1	1
yanuca	1	1
hospitality	1	1
spans	1	1
stints	1	1
chains	4	2
bali	2	1
dale	1	1
hipsh	1	1
ordination	1	1
resort	14	3
opening	29	15
millenia	1	1
spain	20	17
bid	7	6
farewell	12	3
robin	1	1
costa	10	8
del	409	37
sol	2	2
iha	2	1
marco	1	1
polo	1	1
commencing	1	1
hilton	7	1
came	38	29
inn	4	2
tiananmen	2	2
overseeing	8	7
evacuation	2	2
expatriate	2	1
subsequently	13	13
rebuilding	3	3
boards	4	3
polytechnic	1	1
sad	5	4
feeling	12	11
cricket	1	1
sixes	1	1
licence	2	1
awarded	13	11
cantho	1	1
electricite	1	1
eau	1	1
de	3376	123
madagasca	1	1
venture	20	11
mekong	2	1
town	25	21
secured	4	3
mainstream	9	8
destinations	7	1
malaysian	2	1
goh	2	1
hock	2	1
hoa	4	1
guan	1	1
ha	694	61
binh	4	1
constructing	2	2
golf	11	6
spa	7	3
province	3	3
laos	7	1
springing	1	1
hanoi	10	1
ho	14	1
chi	18	3
minh	12	1
danang	1	1
beach	9	7
accepting	6	6
bookings	7	1
property	180	34
retreat	1	1
tam	1	1
80km	1	1
daewoo	2	2
na	22	13
trang	1	1
vietnam	46	14
160	35	8
riverside	1	1
overlooking	3	2
plaza	6	5
completed	22	17
cambodians	1	1
tours	24	3
operators	33	4
hoping	3	1
allure	1	1
untouched	1	1
hill	5	5
modulkiri	1	1
ratanakiri	1	1
inspire	4	4
pioneering	1	1
spirit	18	15
hardest	2	2
cautious	1	1
immediate	33	21
spite	3	3
stance	5	5
spared	1	1
reportedly	11	9
mines	3	3
neighbouring	2	1
cultural	108	54
sok	87	31
chenda	1	1
tour	51	10
indifferent	2	2
clients	26	14
nongnuj	1	1
phnom	2	1
penh	2	1
royal	13	6
cambodge	1	1
arrivals	3	1
noi	10	5
bai	1	1
underway	2	2
terminal	15	9
completion	12	10
doubts	5	5
japanese	94	19
involvement	46	32
loan	18	11
firms	27	15
competing	8	5
tan	8	6
son	35	22
nhat	1	1
upgraded	3	2
departure	5	4
taxes	35	18
airports	2	1
brunei	5	4
begun	7	5
boeing	2	1
747	1	1
myanmar	6	3
mondays	1	1
thursdays	1	1
yangon	1	1
abu	1	1
dhabi	1	1
proceeding	4	3
heathrow	3	2
oasis	2	2
enchanting	1	1
lakes	5	4
crumbling	2	2
refined	8	2
older	17	9
explosive	2	2
trotted	1	1
vantage	3	3
cyclo	2	1
throttle	1	1
motorcycles	1	1
hoot	1	1
impatience	1	1
bargained	1	1
typhoons	1	1
frankie	1	1
smiles	1	1
lined	1	1
cyclos	2	1
visitors	22	4
fascinating	2	1
eerie	1	1
monument	5	3
embalmed	1	1
leader	69	41
affectionately	1	1
thursday	3	3
mausoleum	1	1
museum	5	3
interesting	12	10
scarce	1	1
pillar	2	2
pagoda	4	2
interrupted	1	1
preparations	4	4
ceremony	4	3
honouring	1	1
monk	4	2
charming	1	1
tran	1	1
quoc	1	1
horse	12	4
bearded	1	1
talked	7	6
barbara	12	8
quarter	8	5
walled	2	1
colonial	27	13
villas	2	2
boulevards	1	1
comfort	6	6
en	943	66
route	12	8
temple	2	2
11th	5	3
hieu	1	1
faint	2	2
etchings	1	1
stone	3	3
tablets	1	1
outstanding	12	11
plunged	2	2
erudition	1	1
eased	2	1
bumped	1	1
swerved	1	1
pagodas	1	1
streets	3	3
silk	4	2
steel	18	11
flower	2	2
owners	29	16
yellow	6	6
shophouses	1	1
prosperous	1	1
rattan	1	1
wizened	1	1
blackened	1	1
obscure	6	5
cigarettes	1	1
cents	1	1
proprietors	4	2
fared	3	3
arranged	3	3
vietnamtourism	3	1
backpacker	1	1
authenticity	6	5
spectacular	2	2
backdrop	4	4
mountains	4	4
descending	2	2
tourists	8	3
wooden	4	3
bitter	4	4
tea	11	5
barefoot	1	1
hostess	1	1
clad	1	1
embroidered	1	1
silver	7	6
earrings	1	1
hanging	2	2
ear	2	2
belongs	1	1
minority	49	28
highlands	1	1
thai	6	1
retain	9	8
lifestyle	5	4
conveniences	1	1
electricity	6	4
potable	1	1
tap	2	2
willing	6	6
mai	71	32
chau	5	1
forego	2	2
comforts	1	1
firsthand	2	2
ben	10	8
thanh	1	1
overnight	5	2
stays	3	2
priority	14	14
nonetheless	5	4
nicely	1	1
nto	2	1
rich	16	12
buzzword	1	1
circles	5	5
definitions	11	9
understandably	1	1
perceived	16	14
relatively	23	18
environmentally	4	3
host	9	6
addresses	28	20
concerns	20	16
touring	1	1
quang	1	1
preserve	13	11
ecological	21	9
introducing	6	6
culture	52	36
vietnamese	8	3
boosting	2	2
nguyen	1	1
van	359	65
rural	9	8
fruit	14	3
gardens	1	1
pottery	1	1
maybe	7	6
altar	1	1
arrange	5	4
belongings	2	2
saigontourist	1	1
visits	11	8
conservationists	1	1
imperial	7	6
hue	2	2
authentic	3	3
arts	32	16
theatre	5	4
restoration	11	10
finished	6	6
enthusiasm	3	2
conservation	16	11
applauded	3	3
havoc	1	1
delight	2	1
garden	8	5
buffet	2	1
fitness	6	5
discount	5	4
shopping	5	4
entertainment	16	12
districts	5	5
kowloon	4	1
transit	3	3
railway	3	2
amagine	1	1
cruises	7	1
historic	14	11
generating	4	4
stalagmite	1	1
colony	4	3
coral	1	1
waters	7	3
sai	1	1
kung	1	1
tun	3	2
edmund	5	4
possibilities	12	11
watertours	6	1
promoting	14	13
handled	12	11
tsang	4	1
predicts	2	2
modest	5	5
contingent	3	3
willingness	7	6
berthing	2	2
harbour	3	1
bit	7	5
discouraging	1	1
choppy	1	1
vessels	9	6
pier	2	1
advocating	1	1
kai	3	1
tak	4	2
boarding	4	1
pleasure	71	8
junks	1	1
mun	2	1
kwun	1	1
partly	9	6
suitably	1	1
lei	6	4
yue	1	1
lamma	2	1
island	39	17
marketed	4	3
worship	6	5
temples	2	2
drink	6	5
enjoy	18	12
style	54	27
adapted	3	3
accommodate	5	4
asians	8	2
dominated	13	11
historical	210	69
monastery	4	1
elderly	39	16
younger	10	5
malaysians	1	1
singaporeans	4	1
peninsula	3	3
boat	20	9
runway	2	1
millennium	1	1
fairs	1	1
provisionally	1	1
exposition	3	2
permanent	44	26
relocated	1	1
chek	9	1
lap	72	25
kok	6	1
inbound	5	1
visit	58	28
week	35	27
politics	83	37
accommodation	6	5
sovereignty	13	12
celebrations	3	2
mascot	4	3
preparatory	3	2
dolphin	4	1
celebration	7	6
rare	4	4
lantau	16	1
choosing	12	10
endangered	2	2
missed	7	6
dolphins	5	1
attraction	6	4
enthusiasts	3	3
tsing	5	1
ma	158	40
flying	7	4
tops	1	1
lung	3	3
cheung	7	1
lookout	3	2
viewed	22	19
landing	5	2
organise	6	2
added	37	29
orient	3	1
exploring	4	4
235	8	5
islands	18	11
surround	2	2
favoured	1	1
tranquil	1	1
mainly	15	13
popularity	9	7
buddha	6	1
tai	6	3
o	209	60
fishing	10	4
hyfco	1	1
hopping	1	1
hop	4	3
elect	8	6
silvermine	1	1
hiking	1	1
seafood	3	2
treasure	3	3
hunt	3	3
expeditions	2	1
pirate	1	1
haunt	1	1
archaeological	2	2
adventure	6	2
independence	34	19
formulate	4	4
itinerary	1	1
wan	2	1
presenting	9	9
locale	2	2
longest	1	1
embarking	1	1
incorporate	8	6
wok	1	1
victoria	5	3
sightseeing	1	1
extraordinary	9	8
flattened	2	2
tract	9	5
reclaimed	1	1
curious	1	1
surfaced	2	2
poised	1	1
binoculars	1	1
cameras	5	5
fireworks	1	1
environmentalist	1	1
bill	98	39
leverett	2	1
helping	21	18
contribute	14	13
generate	15	9
revenue	28	13
dolphinwatch	5	1
marine	33	10
astonished	1	1
pollution	52	9
98	62	8
sighting	1	1
ferry	2	2
tsim	2	1
sha	3	2
motored	1	1
meandered	1	1
sighted	3	3
twos	1	1
threes	1	1
porcelain	1	1
pinky	1	1
lunch	2	1
surrounded	2	2
weekend	6	5
tsui	1	1
coach	3	2
tuen	1	1
shore	5	5
contributes	5	5
proceeds	8	8
sells	6	4
merchandise	2	2
postcards	1	1
contacted	3	3
swings	2	2
explore	10	10
rewarded	1	1
cliches	1	1
twice	4	3
mainland	4	3
visitor	7	3
strategies	48	21
recommends	3	3
classified	8	4
recognises	3	2
coastal	6	2
accessibility	2	2
radically	5	5
rail	4	4
fortunately	1	1
recommend	4	4
retaining	6	5
township	1	1
tung	3	1
chung	2	1
formerly	12	12
thriving	1	1
settlement	15	11
servicing	2	2
construction	42	25
teams	2	2
ngong	1	1
ping	2	2
inoffensive	1	1
connecting	3	3
parks	1	1
landscape	10	10
vistour	1	1
propose	11	7
conjunction	5	5
course	35	25
discovering	3	3
villages	5	5
serene	1	1
hillsides	1	1
character	126	22
hubs	1	1
radical	15	14
twinjets	1	1
overfly	1	1
strategic	19	11
predicted	12	8
billion	60	28
2010	9	4
pace	5	4
forecasts	21	7
400	22	17
investing	8	8
funds	40	24
funding	36	22
hk	6	6
manages	7	4
owns	9	6
ladbroke	1	1
invest	9	8
dieter	1	1
swire	2	1
langkawi	1	1
cease	3	3
accruvest	1	1
envisioned	1	1
comprising	7	6
superior	13	9
ttg	14	1
understands	4	3
renovation	3	2
rebuild	1	1
chalets	1	1
kuala	6	1
granite	2	2
430	5	4
retrenched	1	1
mohanadas	1	1
kumaran	1	1
ibrahim	1	1
resident	14	7
mueller	1	1
foresee	2	2
relocating	1	1
tight	3	3
labour	10	5
affecting	30	24
sala	1	1
earlier	39	31
prepaid	6	6
langasuka	1	1
deluxe	2	1
lr	1	1
saunders	2	1
hoteliers	4	1
surcharges	9	2
singapore	23	8
ministerial	2	2
batam	3	1
asean	6	3
discounted	2	1
pt	12	11
period	97	49
discounts	10	8
telkom	4	2
casa	1	1
defer	1	1
levy	1	1
45	218	17
guests	3	3
hotelier	1	1
minimum	41	26
feel	20	15
attract	5	5
mice	3	3
expedia	1	1
launching	5	5
browse	4	3
encryption	25	5
sockets	2	2
sabre	7	1
solutions	21	16
bts	5	1
suite	9	8
lotus	7	5
seamlessly	1	1
versatile	5	3
intranet	3	2
neds	1	1
solution	24	19
expects	7	5
capitalise	1	1
simplify	1	1
replace	24	13
reservations	2	1
michael	30	20
convergence	4	4
undercurrents	3	2
threatening	11	7
livelihood	1	1
cautions	1	1
chris	5	5
economics	80	35
carriers	14	9
crs	6	1
limelight	2	2
levels	36	29
cancellation	7	6
fees	12	7
commissions	3	3
chain	16	12
lyle	3	1
tickets	6	4
lufthansa	9	1
swissair	1	1
diskettes	1	1
distributing	6	4
entrances	1	1
62	112	15
responded	10	9
cap	3	1
firm	26	20
foothold	1	1
closings	1	1
reducing	22	17
overrides	2	2
ticketing	1	1
sas	2	1
carrier	15	6
easyjet	1	1
valujet	1	1
quirk	1	1
focal	4	4
amongst	2	2
notably	8	8
sharpen	1	1
incumbents	1	1
thinks	4	4
personalised	1	1
tied	6	6
supplier	5	4
hopefully	3	2
advice	28	16
fares	9	3
hire	16	8
franchising	4	2
sonic	1	1
purchasing	10	9
negotiate	9	8
consolidators	1	1
sort	3	3
coupled	13	11
intensive	9	6
consolidation	4	3
consortia	1	1
surviving	35	13
aggressively	1	1
client	46	19
dimension	2	2
founder	5	4
pata	20	1
valerio	2	1
broadens	1	1
scope	23	13
educates	1	1
trends	44	25
economies	9	6
chew	1	1
outbound	4	1
lakshman	1	1
mexican	24	10
argentina	35	20
chile	12	9
mystery	5	5
planners	3	3
zealand	16	10
india	38	19
halls	2	2
walt	9	6
disney	6	5
convention	28	14
australia	12	7
talking	6	5
identifying	8	8
graced	1	1
shake	2	2
remained	11	10
optimistic	3	3
explode	1	1
spotlight	1	1
demise	12	5
praise	5	5
defended	1	1
questioned	2	2
evolutionary	8	7
suggesting	18	15
expect	5	4
promotion	24	14
disagreed	1	1
spoken	7	5
loudly	1	1
attracted	4	3
continent	14	5
hastings	1	1
pulling	3	3
faces	6	6
segmentation	3	2
brian	4	4
ceo	6	6
thailand	20	8
highlight	4	2
ripples	1	1
remoter	1	1
spending	31	15
hits	4	4
quite	21	16
overlooked	5	5
deeson	3	1
indians	8	6
middleclass	1	1
lifestyles	4	3
expenditure	7	3
thirdly	1	1
adding	25	19
hindrance	2	2
upbeat	2	2
recommencement	1	1
linking	8	8
korean	18	9
fashionable	2	2
desire	26	20
activity	62	45
prospects	47	25
forecast	17	9
departures	2	2
varied	9	9
sustained	2	2
capita	3	3
1991	24	12
marginally	2	2
tremendous	10	10
exceeding	5	3
doubled	3	3
koreans	3	1
crowd	11	8
mixed	13	9
reactions	14	12
randy	5	3
classic	21	13
holidays	8	3
belonged	4	3
ng	2	1
cynthia	2	1
tourlink	1	1
singaporean	3	1
raymond	5	4
renewing	1	1
grace	3	3
thumbs	2	1
buyers	5	3
warren	13	8
ambience	2	1
gsa	3	3
renewed	11	10
bureaus	1	1
feedback	8	6
gateways	1	1
rolland	1	1
handler	2	1
taiwan	19	12
cheng	4	2
cancun	1	1
enthusiastic	1	1
casinos	1	1
wah	2	2
genting	1	1
travels	10	6
francisco	19	16
las	321	38
attendance	5	5
orlando	3	1
studios	3	3
lim	2	2
kim	4	3
korea	24	14
opinions	14	13
disappointed	2	2
everyone	20	11
attend	16	11
manila	1	1
peso	4	3
cavite	1	1
retail	11	8
philippine	4	2
themed	1	1
modules	2	2
displaying	1	1
spanish	43	19
asiaworld	1	1
internationale	1	1
calatagan	1	1
batangas	1	1
bangkok	3	1
jeanne	3	3
asta	3	1
obstacle	5	4
overcome	8	8
flight	20	10
epping	1	1
ships	5	5
pricing	24	9
hawaiian	12	4
caribbean	10	3
claims	57	30
hosting	3	2
natalie	1	1
chen	6	3
opting	1	1
jump	1	1
theng	1	1
benny	3	3
contributed	14	11
dollars	12	11
extras	2	2
meals	2	1
exclusiveness	1	1
hygiene	1	1
cheap	4	4
aim	15	14
upmarket	1	1
slowdown	5	4
affected	36	29
trekkers	1	1
firewood	1	1
hence	1	1
contributing	22	15
equatorial	6	3
millenium	2	1
sirih	1	1
cdl	1	1
owner	50	12
tanah	1	1
contracts	22	14
agreements	23	18
affiliated	2	2
notice	48	16
joseph	29	15
klaus	10	6
portenschlager	1	1
santika	2	1
grand	12	10
metro	16	11
ana	2	1
tokyo	2	2
nippon	2	2
claiming	12	12
acclaim	1	1
aeroplane	1	1
maker	8	6
sicma	1	1
recline	1	1
180	98	12
aptly	1	1
cabins	1	1
spokesman	22	17
risen	1	1
auckland	2	2
buy	20	14
ansett	4	1
australasian	1	1
australian	6	3
endorsement	2	2
shareholders	11	3
harmonisation	1	1
rationalisation	1	1
progressively	4	4
wholly	4	4
domestically	3	3
mccrea	2	1
tasman	1	1
flies	7	3
sunk	2	2
excess	11	8
fleet	6	5
margie	2	1
t	87	41
logarta	2	1
adelaide	1	1
flinders	2	1
ranges	4	3
lure	2	1
unknown	6	5
staged	7	5
dame	5	4
kiri	1	1
te	16	8
seats	3	3
spectacle	1	1
yalkarinha	1	1
magnificent	2	2
hills	2	2
towering	1	1
gum	1	1
trees	22	9
presentation	14	14
rides	1	1
pichi	1	1
richi	1	1
restored	5	5
steam	6	5
music	85	20
sheep	2	2
bush	11	8
tucker	1	1
vintage	1	1
travelled	4	3
rented	3	2
motorbikes	1	1
opera	20	8
teeming	2	2
incredible	8	5
eagles	1	1
reptiles	1	1
scott	41	23
fascinated	1	1
sydney	1	1
gold	21	13
realising	1	1
lots	9	6
sep	3	1
africa	44	22
parliamentarians	1	1
oct	43	7
youth	25	15
mart	9	1
incontri	1	1
riva	1	1
showcase	1	1
uftaa	1	1
arab	29	14
lebanon	8	6
nov	47	4
skal	1	1
austria	8	8
czech	77	38
philippines	7	6
hungarian	104	29
hungary	37	25
polish	20	13
poland	30	18
dec	40	4
seatrade	1	1
meetings	13	11
1997	23	16
jan	55	18
atf	1	1
ecotourism	1	1
kota	1	1
feb	33	2
fitur	1	1
mar	550	45
itb	1	1
germany	67	28
apr	3	3
adec	1	1
diver	1	1
jun	3	3
ite	1	1
claude	3	2
vincent	7	1
reminder	4	3
pitfalls	7	6
cocktail	1	1
weaponry	3	3
poverty	30	19
senseless	1	1
violence	46	26
scenario	7	5
played	24	20
slain	1	1
soften	1	1
fond	2	2
expatriates	1	1
stayed	1	1
vientiane	5	1
dignitaries	1	1
heading	2	2
1977	11	11
untill	1	1
beauty	16	6
lodges	2	1
returning	8	7
lao	8	3
sodetour	1	1
liaison	3	3
laotians	1	1
pause	1	1
exceed	11	10
struggles	9	9
partner	29	17
yunnan	1	1
reluctance	8	6
lumpur	2	1
vietiane	1	1
conferences	6	4
delegates	5	5
chancellor	4	4
helmut	3	3
heritage	9	8
yogyakarta	1	1
radisson	2	1
looming	1	1
raising	6	6
buffer	5	2
increases	23	17
waiting	9	9
announce	5	5
irene	1	1
premium	11	8
airfares	1	1
terence	2	2
worry	1	1
hiked	2	1
climb	3	2
leeway	1	1
hikes	1	1
agreeing	2	2
warned	16	13
detrimental	3	3
disturbing	6	6
stirland	1	1
idle	2	2
assume	11	10
absorb	2	2
exclusive	7	7
laura	40	18
lee	5	4
handle	21	16
commonwealth	5	4
sukom	5	1
specialised	1	1
organisers	2	1
byrom	2	1
consultants	7	5
lodging	2	2
gen	6	6
sri	2	2
hashim	1	1
mohd	1	1
sab	1	1
complementary	5	4
monopoly	5	5
selangor	1	1
legend	12	8
swiss	9	5
renaissance	30	14
palm	1	1
sheraton	2	2
subang	1	1
sunway	1	1
lagoon	1	1
burau	1	1
tanjung	1	1
jaime	2	2
praised	8	8
organising	2	2
remedy	8	7
raring	1	1
lauding	1	1
supervision	10	8
eva	5	4
lai	6	5
confident	5	4
implementing	14	12
patterson	1	1
kam	1	1
hawaii	7	3
waiver	6	3
seoul	1	1
pushing	3	3
waiving	1	1
visas	39	2
kazumasa	1	1
governor	13	10
triple	4	3
refusals	1	1
applicants	12	7
beneficiaries	8	6
net	32	21
susie	1	1
zanardi	1	1
threaten	4	4
wary	2	2
wyn	1	1
klm	3	1
scheme	8	5
entail	3	3
itineraries	1	1
schedules	2	2
li	4	3
commenting	6	6
cathay	1	1
keen	4	3
advancements	2	2
comparative	51	29
complacent	1	1
ridy	1	1
packaging	8	7
accommodations	2	2
sime	1	1
moment	14	10
infiltrates	2	2
northwest	11	6
falling	5	5
gran	13	8
salvo	1	1
looks	67	44
inventory	7	6
spin	1	1
confluence	1	1
avenues	1	1
melia	2	1
hurt	6	4
eberhard	1	1
crowne	1	1
everybody	3	3
distractions	1	1
dwindling	1	1
workshops	5	3
educate	8	6
drop	25	13
asa	3	2
missions	6	6
organisations	13	5
specialists	3	3
insights	11	11
phun	1	1
entrepreneurs	2	2
depend	6	5
stpb	1	1
cake	1	1
humid	1	1
nepal	8	2
neelam	2	1
mathews	2	1
kathmandu	4	1
nepalese	2	1
blaming	3	3
quit	4	4
proclaiming	2	2
parking	6	3
fuel	21	14
contend	3	3
swift	8	4
digit	2	2
kavin	1	1
inform	11	10
sethi	2	1
viability	5	4
competitiveness	2	2
engine	22	9
crew	8	7
himalayan	1	1
kingdom	15	11
export	40	16
karachi	1	1
paris	17	12
indefinite	3	3
shortage	7	6
telling	10	10
spelling	4	4
impending	2	2
lucrative	2	2
rna	1	1
mumbai	1	1
aviogenex	1	1
expired	2	2
jaya	3	1
chaksana	1	1
trekmate	3	1
outdoor	3	3
abduction	1	1
august	49	31
cancel	7	5
readjust	1	1
papua	2	2
kidnapped	3	3
rescue	10	8
seized	3	3
logging	3	3
workers	105	31
cartensz	6	1
enjoying	4	3
brisk	1	1
eka	1	1
agus	1	1
pyramid	2	2
shifting	7	7
baliem	1	1
reopen	2	2
hike	3	1
condemned	5	5
routes	1	1
dollar	56	29
revised	4	3
madras	1	1
stomping	1	1
mili	1	1
crystal	3	3
happens	4	4
suits	7	7
absorbed	1	1
rajiv	1	1
racette	1	1
ambush	1	1
highway	10	6
luang	6	1
transporting	8	7
purchased	8	8
minivan	1	1
provincial	4	3
apparent	12	11
assailants	2	2
riddled	1	1
bullets	3	3
currency	14	8
valuables	2	2
surith	1	1
tireless	1	1
promoter	1	1
prabang	2	1
kasi	1	1
novotel	1	1
arnauld	1	1
surprise	7	7
kindt	1	1
tribute	1	1
explain	16	16
backpackers	1	1
diethelm	1	1
vayakone	1	1
incident	22	12
overland	1	1
guarantee	16	13
bounty	1	1
survived	3	3
sythong	1	1
phomma	1	1
thongphanh	1	1
bus	9	8
wounded	3	3
escaped	4	4
assignments	5	3
font	5	2
pictured	1	1
photograph	3	3
somalia	3	2
photojournalist	2	1
eldon	1	1
hansi	1	1
reuter	4	4
hosea	1	1
maina	1	1
anthony	8	8
macharia	1	1
somali	1	1
countrymen	1	1
mohamed	2	2
farah	1	1
jailed	9	5
101	58	10
nigerian	7	3
nosa	2	2
igiebor	2	1
languishing	1	1
sani	1	1
solitary	1	1
hardly	4	4
182	21	7
authoritative	2	2
analyzes	60	40
examines	107	58
700	13	11
chronicled	1	1
dispatched	1	1
distant	4	4
repressive	6	5
whom	17	15
writes	5	5
essayist	2	2
roger	5	4
rosenblatt	1	1
consecutive	11	9
imprisoning	1	1
releasing	5	5
imprisoned	22	8
abolishing	4	4
312	10	7
inherently	5	4
incompatible	2	2
chair	10	6
ethiopia	9	5
kuwait	11	8
nigeria	18	8
deaths	9	8
casualties	2	2
combat	10	10
algeria	5	4
deadly	7	6
rebel	9	7
terrorists	2	2
waging	1	1
confirmed	14	10
456	5	5
decade	18	18
tolls	2	2
tajikistan	1	1
diplomatic	19	13
grassroots	2	2
dissident	1	1
yndamiro	1	1
yearlong	1	1
protest	19	16
walter	8	7
prime	90	39
objections	7	5
reuters	34	19
counterinsurgency	1	1
forays	1	1
kurdish	5	3
marcus	3	2
pursuing	6	6
grave	3	3
freed	4	4
marton	2	2
html	114	82
extensions	4	4
hotmetal	4	4
regulated	5	3
separated	11	4
sludge	7	2
transportable	1	1
leases	4	3
satisfaction	19	11
waive	6	6
governmental	36	24
charitable	4	3
certificates	2	2
motor	28	20
waived	8	8
continuously	1	1
compensation	99	18
overdue	3	3
firmly	6	6
affixed	2	2
readily	3	3
transferable	1	1
dep	3	3
accordance	13	11
owned	14	13
accompanied	13	11
entry	15	11
hauling	2	1
preceding	6	5
verifiable	1	1
documentation	9	8
disposition	3	3
conclusively	1	1
presumed	7	7
contravention	2	2
renovations	2	1
contracted	2	2
antiquated	3	3
72	120	11
ward	7	5
storage	11	8
gallon	2	1
adjacent	4	4
1930	4	4
riveted	1	1
painted	2	2
dismantled	1	1
evaluation	66	41
concrete	7	5
77	65	9
66	99	10
altitude	6	4
isolation	9	9
underground	23	11
inspection	8	7
maiden	1	1
repairs	10	3
coagulation	1	1
settling	7	4
raw	4	4
replacement	10	6
substation	1	1
upgrades	4	1
indoor	4	3
chlorine	5	1
injection	2	2
aqua	2	1
dehumidification	3	2
boiler	2	2
burner	1	1
backwash	1	1
motorized	1	1
valves	2	1
bulkhead	1	1
fiberglass	2	2
reinforced	1	1
sluice	1	1
hydroelectric	2	2
multi	1	1
cylinder	2	2
cylinders	7	2
evaporator	1	1
metering	2	1
pertaining	10	9
separation	24	11
ventilation	3	2
lime	4	2
silo	2	1
hydrated	1	1
slurry	1	1
basin	1	1
mg	1	1
clearwater	1	1
partial	8	8
slab	1	1
hypalon	1	1
liner	1	1
discharge	7	4
drying	1	1
analyses	14	12
column	7	6
ceiling	2	2
multitude	3	3
209	20	7
inspected	3	3
lf	1	1
elimination	13	10
ends	15	14
deteriorated	1	1
undersized	1	1
mains	1	1
diameter	1	1
hydrant	1	1
valve	1	1
replacements	1	1
transferring	5	5
cathodic	1	1
pumping	4	2
900	12	9
hp	1	1
diesel	13	7
reducer	1	1
mgd	2	1
pump	10	2
surge	55	5
vacuum	7	3
electrification	1	1
crane	9	7
scada	1	1
